id;nit;razon_social;sigla;pagina_web;email;direccion;telefono;fax;fecha_creacion;fecha_actualizacion;estado;municipio_id;nivel_id
1;hacking;SCSI Bedfordshire Tanzanian Shilling;California Money Market Account system;Human Frozen Supervisor;Otto7@hotmail.com;Square;Checking Account Ports enhance;plug-and-play;2021-03-02T23:43:18;2021-03-02T23:36:02;26897;1;1
2;copy dynamic Kansas;transmitting;Overpass;Cotton;Alfred91@gmail.com;Personal Loan Account;driver 1080p;world-class;2021-03-02T21:46:10;2021-03-02T21:39:02;25717;2;2
3;solid state seize bi-directional;Specialist Cotton Cross-group;Games;Berkshire Garden Tools;Alexanne_Spinka@yahoo.com;Soap Personal Loan Account Optimization;frictionless online;radical superstructure multi-byte;2021-03-02T20:48:00;2021-03-02T15:42:47;25627;3;3
4;Walk;red;Internal Research deliverables;Assurance;Estelle65@hotmail.com;Iraqi Dinar;Glen Auto Loan Account Metrics;Cambridgeshire compressing Gorgeous Fresh Fish;2021-03-02T18:21:40;2021-03-03T10:50:39;99607;4;4
5;Lilangeni Grocery multi-byte;Home Loan Account;Home discrete;hacking;Ansley60@yahoo.com;application Fresh client-driven;Frozen connecting;Solutions;2021-03-02T15:25:58;2021-03-03T06:47:14;19997;5;5
6;copying;Idaho Road;Ethiopian Birr RAM Azerbaijanian Manat;Fantastic;Dale10@hotmail.com;value-added mission-critical bus;Practical Frozen Gloves;invoice;2021-03-03T04:15:30;2021-03-03T07:10:51;71453;6;6
7;portals Handmade Wooden Mouse;Virginia monetize District;Supervisor;Intelligent Wooden Towels next generation;Kendra.Wilkinson@hotmail.com;tan Regional framework;Florida Principal;mobile system Industrial;2021-03-03T02:15:57;2021-03-03T00:22:50;49786;7;7
8;indexing Home Slovenia;Rubber;green Tools;Grocery parallelism application;Faustino.Von34@hotmail.com;port;Computer;AGP Assistant hacking;2021-03-02T23:12:00;2021-03-02T18:40:14;22014;8;8
9;Tasty Wooden Shoes Switchable;Georgia synthesize;Kentucky hacking Ergonomic;interface back-end;Alverta.Schuppe@yahoo.com;haptic Home Loan Account Sleek;Plastic;Ball programming capacitor;2021-03-03T09:59:06;2021-03-02T22:46:47;37779;9;9
10;ivory;generate Rand Namibia Dollar;Ergonomic Concrete Bacon;end-to-end;Alexis.DuBuque79@hotmail.com;calculate technologies Customer;Personal Loan Account Intranet;harness Savings Account;2021-03-03T04:09:21;2021-03-03T05:34:52;6269;10;10
